ticker,empresa,trimestre,total_ativos,total_passivos,patrimonio_liquido,caixa,divida_lp,divida_cp,receita,lucro_bruto,lucro_liquido,ebitda,var_total_ativos_pct,var_patrimonio_liquido_pct,var_caixa_pct,var_receita_pct,var_lucro_liquido_pct,var_ebitda_pct,margem_liquida_calc,margem_ebitda_calc,alavancagem,trimestres_lucro_positivo,saude,saude_texto
ALPA4.SA,ALPARGATAS  PN      N1,2024-12-31,6839725000.0,2803346000.0,4035592000.0,1488511000.0,1172151000.0,289441000.0,1122411000.0,373355000.0,2201000.0,88205000.0,,,,,,,0.19609572607538592,7.858529540426813,0.6946554557546947,1.0,1,Atenção
ALPA4.SA,ALPARGATAS  PN      N1,2025-03-31,6381470000.0,2329048000.0,4051629000.0,1098646000.0,603210000.0,325320000.0,1092486000.0,560484000.0,112362000.0,206687000.0,-6.699903870404144,0.3973890323897944,-26.191610273622434,-2.6661356668813863,5005.043162199001,134.32571849668386,10.28498305699112,18.918960975243618,0.5748423658730847,2.0,2,Saudável
ALPA4.SA,ALPARGATAS  PN      N1,2025-06-30,6194674000.0,2061199000.0,4133621000.0,864577000.0,420050000.0,302591000.0,1101360000.0,602789000.0,87892000.0,202095000.0,-2.9271625503214826,2.023679858150884,-21.30522479488388,0.8122758552512321,-21.777825243409698,-2.22171689559576,7.980315246604198,18.349585966441488,0.49864247351172253,3.0,2,Saudável
ALPA4.SA,ALPARGATAS  PN      N1,2025-12-31,6096758000.0,2772999000.0,3323904000.0,555595000.0,854986000.0,419782000.0,1255228000.0,632658000.0,197253000.0,263879000.0,-1.5806481503304326,-19.58856411848111,-35.73793889960062,13.970727101038726,124.42656897100987,30.571760805561745,15.714515609913098,21.02239593125711,0.8342596537084104,3.0,2,Saudável
ALPA4.SA,ALPARGATAS  PN      N1,2026-03-31,6287102000.0,2828441000.0,3458795000.0,794729000.0,847899000.0,463958000.0,1229460000.0,646844000.0,162809000.0,287358000.0,3.1220527368808204,4.058209864063467,43.04106408445001,-2.052854142833016,-17.461838349733593,8.897638690460408,13.242317765523076,23.372700209848226,0.8177532926929755,3.0,2,Saudável
AMAR3.SA,LOJAS MARISAON      NM,2024-12-31,1904258000.0,1619650000.0,284608000.0,92052000.0,4342000.0,226332000.0,468360000.0,246763000.0,5781000.0,141330000.0,,,,,,,1.2343069433768896,30.17550602100948,5.690809815606027,1.0,1,Atenção
AMAR3.SA,LOJAS MARISAON      NM,2025-03-31,2044038000.0,1756750000.0,287288000.0,9236000.0,0.0,227318000.0,297902000.0,152212000.0,2364000.0,160967000.0,7.340391900677323,0.9416460535192295,-89.96654065093644,-36.394653685199415,-59.10742086144265,13.894431472440383,0.793549556565582,54.03354123168022,6.114943889059063,2.0,1,Atenção
AMAR3.SA,LOJAS MARISAON      NM,2025-09-30,2130537000.0,1835109000.0,295428000.0,52179000.0,154845000.0,290265000.0,332752000.0,170479000.0,5839000.0,151772000.0,4.2317706422287715,2.83339366767843,464.95236032914676,11.69847802297399,146.99661590524533,-5.712350978772052,1.7547603019666298,45.61114583834207,6.211696250863154,3.0,2,Saudável
AMAR3.SA,LOJAS MARISAON      NM,2025-12-31,2056813000.0,1832656000.0,224157000.0,47990000.0,138398000.0,297528000.0,458090000.0,249051000.0,-70291000.0,83748000.0,-3.460348259617174,-24.124659815589588,-8.028133923609115,37.66709140741453,-1303.819147114232,-44.819861371003874,-15.344364644502173,18.281996987491542,8.175769661442649,2.0,0,Risco
AMAR3.SA,LOJAS MARISAON      NM,2026-03-31,2038200000.0,1909382000.0,128818000.0,10626000.0,125833000.0,350599000.0,286454000.0,140636000.0,-95815000.0,54852000.0,-0.9049437163222929,-42.53224302609332,-77.85788705980411,-37.46774651269401,36.311903373120316,-34.503510531594785,-33.44865144141817,19.14862421191535,14.82232296728718,1.0,0,Risco
